Time(s),Coverage(%),Number of running robots
1747819524.5,63.30,8
1747819525.5,63.30,8
1747819526.6,63.30,8
1747819527.6,63.30,8
1747819528.6,63.30,8
1747819529.6,63.31,8
1747819530.6,63.31,8
1747819531.6,63.31,8
1747819532.6,63.32,8
1747819533.6,63.32,8
1747819534.6,63.32,8
1747819535.6,63.32,8
1747819536.6,63.32,8
1747819537.6,63.32,8
1747819538.6,63.32,8
1747819539.6,63.32,8
1747819540.7,63.32,8
1747819541.7,63.32,8
1747819542.7,63.33,8
1747819543.7,63.33,8
1747819544.7,63.33,8
1747819545.7,63.33,8
1747819546.7,63.33,8
1747819547.7,63.33,8
1747819548.7,63.33,8
1747819549.7,63.33,8
1747819550.8,63.33,8
1747819551.8,63.33,8
1747819552.8,63.33,8
1747819553.8,63.33,8
1747819554.8,63.33,8
1747819555.8,63.33,8
1747819556.8,63.33,8
1747819557.8,63.33,8
1747819558.9,63.33,8
1747819559.9,63.30,8
1747819560.9,63.30,8
1747819561.9,63.30,8
1747819562.9,63.30,8
1747819563.9,63.30,8
1747819564.9,63.30,8
1747819565.9,63.30,8
1747819566.9,63.30,8
1747819567.9,63.30,8
1747819569.0,63.30,8
1747819570.0,63.30,8
1747819571.0,63.30,8
1747819572.0,63.30,8
1747819573.0,63.30,8
1747819574.0,63.39,8
1747819575.0,63.40,8
1747819576.0,63.41,8
1747819577.0,63.40,8
1747819578.0,63.40,8
1747819579.0,63.40,8
1747819580.0,63.40,8
1747819581.0,63.40,8
1747819582.1,63.40,8
1747819583.1,63.40,8
1747819584.1,63.40,8
1747819585.1,63.40,8
1747819586.1,63.40,8
1747819587.2,63.40,8
1747819588.2,63.40,8
1747819589.2,63.40,8
1747819590.2,63.40,8
1747819591.2,63.40,8
1747819592.2,63.29,8
1747819593.2,63.29,8
1747819594.2,63.29,8
1747819595.2,63.30,8
1747819596.2,63.30,8
1747819597.2,63.30,8
1747819598.2,63.31,8
1747819599.3,63.31,8
1747819600.3,63.31,8
1747819601.3,63.31,8
1747819602.3,63.31,8
1747819603.3,63.31,8
1747819604.3,63.31,8
1747819605.3,63.31,8
1747819606.3,63.31,8
1747819607.3,63.31,8
1747819608.3,63.31,8
1747819609.4,63.31,8
1747819610.4,63.31,8
1747819611.4,63.28,8
1747819612.4,63.28,8
1747819613.4,63.28,8
1747819614.4,63.28,8
1747819615.4,63.28,8
1747819616.4,63.28,8
1747819617.4,63.28,8
1747819618.4,63.28,8
1747819619.4,63.28,8
1747819620.4,63.28,8
1747819621.5,63.28,8
1747819622.5,63.28,8
1747819623.5,63.28,8
1747819624.5,63.28,8
1747819625.5,63.28,8
1747819626.5,63.28,8
1747819627.6,63.28,8
1747819628.6,63.29,8
1747819629.6,63.29,8
1747819630.6,63.29,8
1747819631.6,63.29,8
1747819632.6,63.29,8
1747819633.6,63.29,8
1747819634.6,63.29,8
1747819635.6,63.29,8
1747819636.7,63.29,8
1747819637.7,63.29,8
1747819638.7,63.29,8
1747819639.7,63.29,8
1747819640.7,63.29,8
1747819641.7,63.29,8
1747819642.7,63.29,8
1747819643.7,63.29,8
1747819644.7,63.29,8
1747819645.8,63.30,8
1747819646.8,63.31,8
1747819647.8,63.31,8
1747819648.8,63.31,8
1747819649.8,63.31,8
1747819650.8,63.31,8
1747819651.8,63.31,8
1747819652.8,63.38,8
1747819653.8,63.55,8
1747819654.8,63.72,8
1747819655.8,63.85,8
1747819656.9,63.99,8
1747819657.9,64.07,8
1747819658.9,64.11,8
1747819659.9,64.14,8
1747819660.9,64.15,8
1747819661.9,64.15,8
1747819662.9,64.15,8
1747819663.9,64.15,8
1747819664.9,64.16,8
1747819665.9,64.16,8
1747819667.0,64.17,8
1747819668.0,64.19,8
1747819669.0,64.19,8
1747819670.0,64.19,8
1747819671.0,64.19,8
1747819672.0,64.20,8
1747819673.0,64.20,8
1747819674.0,64.20,8
1747819675.0,64.20,8
1747819676.1,64.20,8
1747819677.1,64.20,8
1747819678.1,64.20,8
1747819679.1,64.20,8
1747819680.1,64.20,8
1747819681.1,64.20,8
1747819682.1,64.20,8
1747819683.1,64.20,8
1747819684.1,64.20,8
1747819685.1,64.20,8
1747819686.2,64.20,8
1747819687.2,64.20,8
1747819688.2,64.20,8
1747819689.2,64.20,8
1747819690.2,64.20,8
1747819691.2,64.20,8
1747819692.2,64.20,8
1747819693.2,64.22,8
1747819694.2,64.22,8
1747819695.2,64.22,8
1747819696.3,64.22,8
1747819697.3,64.22,8
1747819698.3,64.22,8
1747819699.3,64.22,8
1747819700.3,64.22,8
1747819701.3,64.22,8
1747819702.3,64.22,8
1747819703.3,64.22,8
1747819704.3,64.22,8
1747819705.3,64.22,8
1747819706.4,64.27,8
1747819707.4,64.41,8
1747819708.4,64.53,8
1747819709.4,64.53,8
1747819710.4,64.62,8
1747819711.4,64.75,8
1747819712.5,64.85,8
1747819713.5,64.94,8
1747819714.5,65.06,8
1747819715.5,65.20,8
1747819716.5,65.35,8
1747819717.5,65.42,8
1747819718.5,65.52,8
1747819719.5,65.57,8
1747819720.5,65.66,8
1747819721.5,65.85,8
1747819722.6,65.95,8
1747819723.6,65.98,8
1747819724.6,66.00,8
1747819725.6,66.10,8
1747819726.6,66.34,8
1747819727.6,66.36,8
1747819728.6,66.40,8
1747819729.6,66.62,8
1747819730.7,66.68,8
1747819731.7,66.69,8
1747819732.7,66.86,8
1747819733.7,67.05,8
1747819734.7,67.10,8
1747819735.7,67.27,8
1747819736.7,67.49,8
1747819737.7,67.84,8
1747819738.7,67.84,8
1747819739.7,67.92,8
1747819740.8,68.11,8
1747819741.8,68.36,8
1747819742.8,68.49,8
1747819743.8,68.60,8
1747819744.8,68.77,8
1747819745.9,68.97,8
1747819746.9,69.10,8
1747819747.9,69.27,8
1747819748.9,69.39,8
1747819749.9,69.56,8
1747819750.9,69.70,8
1747819751.9,69.76,8
1747819752.9,69.80,8
1747819754.0,69.86,8
1747819755.0,69.87,8
1747819756.0,69.87,8
1747819757.0,69.87,8
1747819758.0,69.88,8
1747819759.0,69.88,8
1747819760.0,69.88,8
1747819761.0,69.88,8
1747819762.0,69.88,8
